FRED_symbol,date,lvl_thousands,lvl_millions
UNEMPLOY,2000-12-01,5634,5.634
UNEMPLOY,2001-01-01,6023,6.023
UNEMPLOY,2001-02-01,6089,6.089
UNEMPLOY,2001-03-01,6141,6.141
UNEMPLOY,2001-04-01,6271,6.271
UNEMPLOY,2001-05-01,6226,6.226
UNEMPLOY,2001-06-01,6484,6.484
UNEMPLOY,2001-07-01,6583,6.583
UNEMPLOY,2001-08-01,7042,7.042
UNEMPLOY,2001-09-01,7142,7.142
UNEMPLOY,2001-10-01,7694,7.694
UNEMPLOY,2001-11-01,8003,8.003
UNEMPLOY,2001-12-01,8258,8.258
UNEMPLOY,2002-01-01,8182,8.182
UNEMPLOY,2002-02-01,8215,8.215
UNEMPLOY,2002-03-01,8304,8.304
UNEMPLOY,2002-04-01,8599,8.599
UNEMPLOY,2002-05-01,8399,8.399
UNEMPLOY,2002-06-01,8393,8.393
UNEMPLOY,2002-07-01,8390,8.39
UNEMPLOY,2002-08-01,8304,8.304
UNEMPLOY,2002-09-01,8251,8.251
UNEMPLOY,2002-10-01,8307,8.307
UNEMPLOY,2002-11-01,8520,8.52
UNEMPLOY,2002-12-01,8640,8.64
UNEMPLOY,2003-01-01,8520,8.52
UNEMPLOY,2003-02-01,8618,8.618
UNEMPLOY,2003-03-01,8588,8.588
UNEMPLOY,2003-04-01,8842,8.842
UNEMPLOY,2003-05-01,8957,8.957
UNEMPLOY,2003-06-01,9266,9.266
UNEMPLOY,2003-07-01,9011,9.011
UNEMPLOY,2003-08-01,8896,8.896
UNEMPLOY,2003-09-01,8921,8.921
UNEMPLOY,2003-10-01,8732,8.732
UNEMPLOY,2003-11-01,8576,8.576
UNEMPLOY,2003-12-01,8317,8.317
UNEMPLOY,2004-01-01,8370,8.37
UNEMPLOY,2004-02-01,8167,8.167
UNEMPLOY,2004-03-01,8491,8.491
UNEMPLOY,2004-04-01,8170,8.17
UNEMPLOY,2004-05-01,8212,8.212
UNEMPLOY,2004-06-01,8286,8.286
UNEMPLOY,2004-07-01,8136,8.136
UNEMPLOY,2004-08-01,7990,7.99
UNEMPLOY,2004-09-01,7927,7.927
UNEMPLOY,2004-10-01,8061,8.061
UNEMPLOY,2004-11-01,7932,7.932
UNEMPLOY,2004-12-01,7934,7.934
UNEMPLOY,2005-01-01,7784,7.784
UNEMPLOY,2005-02-01,7980,7.98
UNEMPLOY,2005-03-01,7737,7.737
UNEMPLOY,2005-04-01,7672,7.672
UNEMPLOY,2005-05-01,7651,7.651
UNEMPLOY,2005-06-01,7524,7.524
UNEMPLOY,2005-07-01,7406,7.406
UNEMPLOY,2005-08-01,7345,7.345
UNEMPLOY,2005-09-01,7553,7.553
UNEMPLOY,2005-10-01,7453,7.453
UNEMPLOY,2005-11-01,7566,7.566
UNEMPLOY,2005-12-01,7279,7.279
UNEMPLOY,2006-01-01,7064,7.064
UNEMPLOY,2006-02-01,7184,7.184
UNEMPLOY,2006-03-01,7072,7.072
UNEMPLOY,2006-04-01,7120,7.12
UNEMPLOY,2006-05-01,6980,6.98
UNEMPLOY,2006-06-01,7001,7.001
UNEMPLOY,2006-07-01,7175,7.175
UNEMPLOY,2006-08-01,7091,7.091
UNEMPLOY,2006-09-01,6847,6.847
UNEMPLOY,2006-10-01,6727,6.727
UNEMPLOY,2006-11-01,6872,6.872
UNEMPLOY,2006-12-01,6762,6.762
UNEMPLOY,2007-01-01,7116,7.116
UNEMPLOY,2007-02-01,6927,6.927
UNEMPLOY,2007-03-01,6731,6.731
UNEMPLOY,2007-04-01,6850,6.85
UNEMPLOY,2007-05-01,6766,6.766
UNEMPLOY,2007-06-01,6979,6.979
UNEMPLOY,2007-07-01,7149,7.149
UNEMPLOY,2007-08-01,7067,7.067
UNEMPLOY,2007-09-01,7170,7.17
UNEMPLOY,2007-10-01,7237,7.237
UNEMPLOY,2007-11-01,7240,7.24
UNEMPLOY,2007-12-01,7645,7.645
UNEMPLOY,2008-01-01,7685,7.685
UNEMPLOY,2008-02-01,7497,7.497
UNEMPLOY,2008-03-01,7822,7.822
UNEMPLOY,2008-04-01,7637,7.637
UNEMPLOY,2008-05-01,8395,8.395
UNEMPLOY,2008-06-01,8575,8.575
UNEMPLOY,2008-07-01,8937,8.937
UNEMPLOY,2008-08-01,9438,9.438
UNEMPLOY,2008-09-01,9494,9.494
UNEMPLOY,2008-10-01,10074,10.074
UNEMPLOY,2008-11-01,10538,10.538
UNEMPLOY,2008-12-01,11286,11.286
UNEMPLOY,2009-01-01,12058,12.058
UNEMPLOY,2009-02-01,12898,12.898
UNEMPLOY,2009-03-01,13426,13.426
UNEMPLOY,2009-04-01,13853,13.853
UNEMPLOY,2009-05-01,14499,14.499
UNEMPLOY,2009-06-01,14707,14.707
UNEMPLOY,2009-07-01,14601,14.601
UNEMPLOY,2009-08-01,14814,14.814
UNEMPLOY,2009-09-01,15009,15.009
UNEMPLOY,2009-10-01,15352,15.352
UNEMPLOY,2009-11-01,15219,15.219
UNEMPLOY,2009-12-01,15098,15.098
UNEMPLOY,2010-01-01,15046,15.046
UNEMPLOY,2010-02-01,15113,15.113
UNEMPLOY,2010-03-01,15202,15.202
UNEMPLOY,2010-04-01,15325,15.325
UNEMPLOY,2010-05-01,14849,14.849
UNEMPLOY,2010-06-01,14474,14.474
UNEMPLOY,2010-07-01,14512,14.512
UNEMPLOY,2010-08-01,14648,14.648
UNEMPLOY,2010-09-01,14579,14.579
UNEMPLOY,2010-10-01,14516,14.516
UNEMPLOY,2010-11-01,15081,15.081
UNEMPLOY,2010-12-01,14348,14.348
UNEMPLOY,2011-01-01,14013,14.013
UNEMPLOY,2011-02-01,13820,13.82
UNEMPLOY,2011-03-01,13737,13.737
UNEMPLOY,2011-04-01,13957,13.957
UNEMPLOY,2011-05-01,13855,13.855
UNEMPLOY,2011-06-01,13962,13.962
UNEMPLOY,2011-07-01,13763,13.763
UNEMPLOY,2011-08-01,13818,13.818
UNEMPLOY,2011-09-01,13948,13.948
UNEMPLOY,2011-10-01,13594,13.594
UNEMPLOY,2011-11-01,13302,13.302
UNEMPLOY,2011-12-01,13093,13.093
UNEMPLOY,2012-01-01,12797,12.797
UNEMPLOY,2012-02-01,12813,12.813
UNEMPLOY,2012-03-01,12713,12.713
UNEMPLOY,2012-04-01,12646,12.646
UNEMPLOY,2012-05-01,12660,12.66
UNEMPLOY,2012-06-01,12692,12.692
UNEMPLOY,2012-07-01,12656,12.656
UNEMPLOY,2012-08-01,12471,12.471
UNEMPLOY,2012-09-01,12115,12.115
UNEMPLOY,2012-10-01,12124,12.124
UNEMPLOY,2012-11-01,12005,12.005
UNEMPLOY,2012-12-01,12298,12.298
UNEMPLOY,2013-01-01,12471,12.471
UNEMPLOY,2013-02-01,11950,11.95
UNEMPLOY,2013-03-01,11689,11.689
UNEMPLOY,2013-04-01,11760,11.76
UNEMPLOY,2013-05-01,11654,11.654
UNEMPLOY,2013-06-01,11751,11.751
UNEMPLOY,2013-07-01,11335,11.335
UNEMPLOY,2013-08-01,11279,11.279
UNEMPLOY,2013-09-01,11270,11.27
UNEMPLOY,2013-10-01,11136,11.136
UNEMPLOY,2013-11-01,10787,10.787
UNEMPLOY,2013-12-01,10404,10.404
UNEMPLOY,2014-01-01,10202,10.202
UNEMPLOY,2014-02-01,10349,10.349
UNEMPLOY,2014-03-01,10380,10.38
UNEMPLOY,2014-04-01,9702,9.702
UNEMPLOY,2014-05-01,9859,9.859
UNEMPLOY,2014-06-01,9460,9.46
UNEMPLOY,2014-07-01,9608,9.608
UNEMPLOY,2014-08-01,9599,9.599
